2024-01-29 19:41:48 | INFO | openai_api_server | args: Namespace(host='0.0.0.0', port=8013, controller_address='http://localhost:21001', allow_credentials=False, allowed_origins=['*'], allowed_methods=['*'], allowed_headers=['*'], api_keys=None, ssl=False)
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Started server process [2865222]
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:8013 (Press CTRL+C to quit)
2024-01-29 19:44:58 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:06 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:14 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:21 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:29 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:36 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:44 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:52 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:45:59 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:46:07 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:46:14 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:46:22 | INFO | stdout | INFO:     127.0.0.1:48566 - "POST /v1/chat/completions HTTP/1.1" 200 OK
