2024-01-29 19:41:48 | INFO | openai_api_server | args: Namespace(host='0.0.0.0', port=8013, controller_address='http://localhost:21001', allow_credentials=False, allowed_origins=['*'], allowed_methods=['*'], allowed_headers=['*'], api_keys=None, ssl=False)
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Started server process [921065]
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:8013 (Press CTRL+C to quit)
2024-01-29 19:47:18 | INFO | openai_api_server | args: Namespace(host='0.0.0.0', port=8013, controller_address='http://localhost:21001', allow_credentials=False, allowed_origins=['*'], allowed_methods=['*'], allowed_headers=['*'], api_keys=None, ssl=False)
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Started server process [921330]
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:8013 (Press CTRL+C to quit)
2024-01-29 19:48:54 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:48:58 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | stdout | INFO:     127.0.0.1:49654 - "POST /v1/chat/completions HTTP/1.1" 200 OK
